algorithm,data_type,threshold,n,mean_ms,median_ms,stddev_ms
merge_hybrid,random,50,39000,19.1926,19.811,1.34342
merge_hybrid,random,50,39100,20.1156,18.22,2.88784
merge_hybrid,random,50,39200,18.4126,18.242,0.311872
merge_hybrid,random,50,39300,18.649,18.544,0.278489
merge_hybrid,random,50,39400,19.224,19.17,0.76172
merge_hybrid,random,50,39500,18.3084,18.069,0.665565
merge_hybrid,random,50,39600,18.22,18.05,0.747634
merge_hybrid,random,50,39700,19.003,18.391,1.04004
merge_hybrid,random,50,39800,17.8202,17.637,0.424058
merge_hybrid,random,50,39900,19.399,19.357,0.798345
merge_hybrid,random,50,40000,19.3546,19.25,0.714675
merge_hybrid,random,50,40100,18.8406,18.552,0.505107
merge_hybrid,random,50,40200,19.9546,19.885,0.23438
merge_hybrid,random,50,40300,19.092,18.996,0.777633
merge_hybrid,random,50,40400,20.284,20.017,1.27452
merge_hybrid,random,50,40500,18.4482,18.365,0.435393
merge_hybrid,random,50,40600,20.8012,19.995,2.45007
merge_hybrid,random,50,40700,18.661,18.795,0.356943
merge_hybrid,random,50,40800,20.3928,20.493,1.43493
merge_hybrid,random,50,40900,18.3992,18.395,0.0256234
merge_hybrid,random,50,41000,19.6726,19.273,1.36666
merge_hybrid,random,50,41100,18.6634,18.575,0.158198
merge_hybrid,random,50,41200,20.9432,20.718,0.985452
merge_hybrid,random,50,41300,19.133,19.086,0.435395
merge_hybrid,random,50,41400,19.0902,18.82,0.679756
merge_hybrid,random,50,41500,18.7028,18.717,0.0823174
merge_hybrid,random,50,41600,18.8388,18.684,0.443067
merge_hybrid,random,50,41700,18.7094,18.685,0.0540244
merge_hybrid,random,50,41800,18.9804,18.693,0.585338
merge_hybrid,random,50,41900,18.9404,18.891,0.141099
merge_hybrid,random,50,42000,18.9314,18.912,0.106536
merge_hybrid,random,50,42100,18.9374,18.913,0.125734
merge_hybrid,random,50,42200,19.2958,19.049,0.617974
merge_hybrid,random,50,42300,19.8564,19.744,0.666419
merge_hybrid,random,50,42400,19.2342,18.825,0.614055
merge_hybrid,random,50,42500,18.9334,18.859,0.192535
merge_hybrid,random,50,42600,23.4078,23.269,2.37658
merge_hybrid,random,50,42700,19.3718,19.263,0.285991
merge_hybrid,random,50,42800,20.6732,20.834,1.06295
merge_hybrid,random,50,42900,20.6654,19.931,1.25065
merge_hybrid,random,50,43000,19.7152,19.696,0.109842
merge_hybrid,random,50,43100,20.5756,20.498,0.403423
merge_hybrid,random,50,43200,21.5128,21.533,2.03964
merge_hybrid,random,50,43300,19.9814,19.772,0.501823
merge_hybrid,random,50,43400,20.0888,19.982,0.282725
merge_hybrid,random,50,43500,23.3976,23.245,1.75266
merge_hybrid,random,50,43600,20.3312,19.847,0.716368
merge_hybrid,random,50,43700,20.5396,20.31,0.672161
merge_hybrid,random,50,43800,20.425,20.291,0.460907
merge_hybrid,random,50,43900,20.4334,19.988,0.607511
merge_hybrid,random,50,44000,20.178,20.182,0.0945643
merge_hybrid,random,50,44100,20.554,20.283,0.871909
merge_hybrid,random,50,44200,23.8666,21.409,3.63951
merge_hybrid,random,50,44300,20.3666,20.405,0.440391
merge_hybrid,random,50,44400,21.1164,20.769,1.05233
merge_hybrid,random,50,44500,20.5358,20.165,0.816268
merge_hybrid,random,50,44600,20.1614,20.106,0.163174
merge_hybrid,random,50,44700,20.5824,20.347,0.498308
merge_hybrid,random,50,44800,21.0454,20.874,0.82764
merge_hybrid,random,50,44900,22.8774,20.907,3.06712
merge_hybrid,random,50,45000,20.8678,20.743,0.534429
merge_hybrid,random,50,45100,33.3546,27.574,15.5333
merge_hybrid,random,50,45200,21.0776,20.634,0.691906
merge_hybrid,random,50,45300,20.6348,20.615,0.0661646
merge_hybrid,random,50,45400,21.223,20.83,0.678801
merge_hybrid,random,50,45500,21.2598,21.207,0.368232
merge_hybrid,random,50,45600,21.3864,21.331,0.448683
merge_hybrid,random,50,45700,21.2942,21.142,0.392081
merge_hybrid,random,50,45800,21.6788,21.672,0.507024
merge_hybrid,random,50,45900,25.85,24.29,2.72824
merge_hybrid,random,50,46000,21.819,21.277,0.993206
merge_hybrid,random,50,46100,21.0934,21.019,0.195415
merge_hybrid,random,50,46200,21.436,21.433,0.372238
merge_hybrid,random,50,46300,21.8264,21.243,0.757287
merge_hybrid,random,50,46400,23.6264,22.253,2.72132
merge_hybrid,random,50,46500,21.5324,21.527,0.228738
merge_hybrid,random,50,46600,21.6844,21.505,0.365658
merge_hybrid,random,50,46700,21.8708,21.998,0.404223
merge_hybrid,random,50,46800,21.9576,21.815,0.52536
merge_hybrid,random,50,46900,23.998,23.808,2.73236
merge_hybrid,random,50,47000,21.718,21.514,0.554402
merge_hybrid,random,50,47100,21.8448,21.735,0.444515
merge_hybrid,random,50,47200,21.453,21.389,0.0929236
merge_hybrid,random,50,47300,22.4132,22.656,0.506593
merge_hybrid,random,50,47400,26.0606,25.822,2.55493
merge_hybrid,random,50,47500,22.2852,22.089,0.380833
merge_hybrid,random,50,47600,22.1006,22.111,0.0523167
merge_hybrid,random,50,47700,22.4594,22.401,0.182694
merge_hybrid,random,50,47800,23.2334,23.217,0.923034
merge_hybrid,random,50,47900,22.9004,22.362,1.06995
merge_hybrid,random,50,48000,23.1928,22.97,0.699031
merge_hybrid,random,50,48100,22.4336,22.431,0.058517
merge_hybrid,random,50,48200,22.5124,22.472,0.118262
merge_hybrid,random,50,48300,22.7856,22.659,0.28959
merge_hybrid,random,50,48400,22.7688,22.657,0.272134
merge_hybrid,random,50,48500,26.1786,25.906,2.09583
merge_hybrid,random,50,48600,22.395,22.279,0.324766
merge_hybrid,random,50,48700,23.2044,23.408,0.776017
merge_hybrid,random,50,48800,25.5556,25.898,1.62765
merge_hybrid,random,50,48900,22.608,22.49,0.297682
merge_hybrid,random,50,49000,23.1122,22.957,0.655588
merge_hybrid,random,50,49100,22.584,22.574,0.049956
merge_hybrid,random,50,49200,23.9022,23.915,0.688039
merge_hybrid,random,50,49300,23.4174,23.538,0.558425
merge_hybrid,random,50,49400,23.322,23.134,0.344125
merge_hybrid,random,50,49500,23.4906,23.513,0.439096
merge_hybrid,random,50,49600,23.2402,23.122,0.329203
merge_hybrid,random,50,49700,23.8618,23.442,0.624328
merge_hybrid,random,50,49800,23.8648,23.623,0.459017
merge_hybrid,random,50,49900,23.8466,23.888,0.367374
merge_hybrid,random,50,50000,28.3514,28.135,3.82876
merge_hybrid,random,50,50100,23.6964,23.535,0.345154
merge_hybrid,random,50,50200,23.8684,23.857,0.34132
merge_hybrid,random,50,50300,28.0804,26.295,2.88825
merge_hybrid,random,50,50400,23.9308,23.981,0.349518
merge_hybrid,random,50,50500,24.2388,24.319,0.344612
merge_hybrid,random,50,50600,23.6852,23.615,0.138784
merge_hybrid,random,50,50700,23.7692,23.763,0.0483959
merge_hybrid,random,50,50800,24.1548,24.074,0.460927
merge_hybrid,random,50,50900,25.2066,25.533,0.955783
merge_hybrid,random,50,51000,24.0988,23.679,0.54128
merge_hybrid,random,50,51100,24.1606,23.964,0.480059
merge_hybrid,random,50,51200,24.3874,24.191,0.555015
merge_hybrid,random,50,51300,24.0208,24.083,0.148933
merge_hybrid,random,50,51400,24.697,24.5,0.605036
merge_hybrid,random,50,51500,24.2914,24.094,0.363073
merge_hybrid,random,50,51600,25.471,25.543,1.38822
merge_hybrid,random,50,51700,24.184,24.057,0.386025
merge_hybrid,random,50,51800,23.6028,23.562,0.123888
merge_hybrid,random,50,51900,28.5294,27.504,2.82724
merge_hybrid,random,50,52000,24.0686,23.91,0.665893
merge_hybrid,random,50,52100,23.4952,23.478,0.219617
merge_hybrid,random,50,52200,26.6752,25.492,2.69807
merge_hybrid,random,50,52300,23.3354,23.146,0.410397
merge_hybrid,random,50,52400,23.3496,22.837,0.80515
merge_hybrid,random,50,52500,22.848,22.86,0.0850482
merge_hybrid,random,50,52600,22.97,22.849,0.297622
merge_hybrid,random,50,52700,32.0322,30.211,10.1892
merge_hybrid,random,50,52800,23.1946,23.134,0.355119
merge_hybrid,random,50,52900,23.6998,23.579,0.616794
merge_hybrid,random,50,53000,23.551,23.233,0.442327
merge_hybrid,random,50,53100,23.813,23.996,0.554298
merge_hybrid,random,50,53200,23.7288,23.879,0.39303
merge_hybrid,random,50,53300,23.5846,23.382,0.355299
merge_hybrid,random,50,53400,24.6376,23.827,1.87243
merge_hybrid,random,50,53500,23.9332,23.74,0.279507
merge_hybrid,random,50,53600,27.945,27.138,2.21937
merge_hybrid,random,50,53700,23.9282,23.881,0.122166
merge_hybrid,random,50,53800,24.1556,24.091,0.135092
merge_hybrid,random,50,53900,24.6004,24.475,0.617268
merge_hybrid,random,50,54000,23.9258,23.791,0.250519
merge_hybrid,random,50,54100,23.9868,23.877,0.366533
merge_hybrid,random,50,54200,24.1846,23.981,0.420578
merge_hybrid,random,50,54300,25.6588,25.314,1.33704
merge_hybrid,random,50,54400,-499.525,25.867,1051.88
merge_hybrid,random,50,54500,24.4752,24.185,0.511619
merge_hybrid,random,50,54600,24.0982,24.038,0.354714
merge_hybrid,random,50,54700,24.662,24.562,0.80741
merge_hybrid,random,50,54800,24.9424,24.892,0.255104
merge_hybrid,random,50,54900,24.835,24.433,0.906985
merge_hybrid,random,50,55000,26.4908,25.526,2.12443
merge_hybrid,random,50,55100,26.92,26.421,1.23194
merge_hybrid,random,50,55200,25.7078,25.599,0.809712
merge_hybrid,random,50,55300,25.025,24.694,0.504779
merge_hybrid,random,50,55400,31.4724,30.985,2.03949
merge_hybrid,random,50,55500,25.1796,24.801,0.829221
merge_hybrid,random,50,55600,25.4648,25.241,0.490384
merge_hybrid,random,50,55700,27.3038,24.95,4.40613
merge_hybrid,random,50,55800,27.1742,26.341,2.46148
merge_hybrid,random,50,55900,25.3698,25.123,0.392902
merge_hybrid,random,50,56000,25.0876,25.028,0.41113
merge_hybrid,random,50,56100,24.7324,24.55,0.315814
merge_hybrid,random,50,56200,30.6112,28.971,2.54527
merge_hybrid,random,50,56300,27.3586,25.263,4.19086
merge_hybrid,random,50,56400,28.149,27.985,2.06634
merge_hybrid,random,50,56500,25.5946,25.528,0.302821
merge_hybrid,random,50,56600,26.8992,26.394,1.08602
merge_hybrid,random,50,56700,25.2958,25.09,0.353742
merge_hybrid,random,50,56800,25.7124,25.06,0.852378
merge_hybrid,random,50,56900,25.9812,25.85,0.601601
merge_hybrid,random,50,57000,25.136,25.112,0.0337402
merge_hybrid,random,50,57100,26.1696,25.59,0.784634
merge_hybrid,random,50,57200,25.911,25.607,0.466263
merge_hybrid,random,50,57300,26.1144,25.862,0.593915
merge_hybrid,random,50,57400,26.3084,25.892,0.651238
merge_hybrid,random,50,57500,26.3588,26.182,0.614212
merge_hybrid,random,50,57600,25.8022,25.553,0.503052
merge_hybrid,random,50,57700,25.7888,25.711,0.278641
merge_hybrid,random,50,57800,26.143,26.002,0.348925
merge_hybrid,random,50,57900,25.8024,25.743,0.144917
merge_hybrid,random,50,58000,26.273,26.45,0.441851
merge_hybrid,random,50,58100,26.143,26.146,0.366305
merge_hybrid,random,50,58200,25.7684,25.64,0.382527
merge_hybrid,random,50,58300,26.0892,25.754,0.50422
merge_hybrid,random,50,58400,26.195,25.699,0.935715
merge_hybrid,random,50,58500,26.239,26.032,0.352941
merge_hybrid,random,50,58600,27.063,27.317,0.656412
merge_hybrid,random,50,58700,26.9822,26.453,1.06086
merge_hybrid,random,50,58800,26.6898,26.684,0.176358
merge_hybrid,random,50,58900,26.9678,26.671,0.526195
merge_hybrid,random,50,59000,26.6824,26.602,0.229261
merge_hybrid,random,50,59100,27.0652,26.676,0.638668
merge_hybrid,random,50,59200,26.757,26.782,0.091078
merge_hybrid,random,50,59300,29.8194,27.661,3.20189
merge_hybrid,random,50,59400,26.775,26.786,0.0907811
merge_hybrid,random,50,59500,27.2778,27.269,0.795108
merge_hybrid,random,50,59600,27.1302,27.44,0.596241
merge_hybrid,random,50,59700,29.4182,29.528,1.02036
merge_hybrid,random,50,59800,26.9832,26.799,0.681095
merge_hybrid,random,50,59900,26.994,26.464,0.70954
merge_hybrid,random,50,60000,27.136,27.23,0.404369
merge_hybrid,random,50,60100,26.73,26.669,0.14878
merge_hybrid,random,50,60200,27.5336,27.59,0.20966
merge_hybrid,random,50,60300,26.8826,26.755,0.273964
merge_hybrid,random,50,60400,27.23,27.086,0.350371
merge_hybrid,random,50,60500,27.933,27.557,0.685293
merge_hybrid,random,50,60600,27.7258,27.437,0.446197
merge_hybrid,random,50,60700,29.8614,28.188,2.85067
merge_hybrid,random,50,60800,27.7704,27.708,0.185022
merge_hybrid,random,50,60900,31.0442,28.372,3.79368
merge_hybrid,random,50,61000,27.5948,27.344,0.380703
merge_hybrid,random,50,61100,28.3148,28.09,1.08073
merge_hybrid,random,50,61200,31.5776,30.882,3.03655
merge_hybrid,random,50,61300,27.9786,28.25,0.409018
merge_hybrid,random,50,61400,27.5236,27.507,0.113546
merge_hybrid,random,50,61500,27.7202,27.45,0.452096
merge_hybrid,random,50,61600,27.8608,27.417,0.568794
merge_hybrid,random,50,61700,27.8642,27.773,0.515324
merge_hybrid,random,50,61800,30.2272,30.472,2.48127
merge_hybrid,random,50,61900,29.2326,29.063,1.05259
merge_hybrid,random,50,62000,28.3424,28.377,0.234711
merge_hybrid,random,50,62100,30.5148,29.377,2.44166
merge_hybrid,random,50,62200,28.6578,28.307,0.55887
merge_hybrid,random,50,62300,30.214,28.603,2.07795
merge_hybrid,random,50,62400,28.6228,28.476,0.300783
merge_hybrid,random,50,62500,29.4694,29.372,0.670233
merge_hybrid,random,50,62600,28.5492,28.38,0.383337
merge_hybrid,random,50,62700,28.6976,28.84,0.649045
merge_hybrid,random,50,62800,28.826,28.651,0.399089
merge_hybrid,random,50,62900,28.439,28.408,0.101418
merge_hybrid,random,50,63000,28.5768,28.925,0.556886
merge_hybrid,random,50,63100,28.7836,28.148,0.925519
merge_hybrid,random,50,63200,29.2932,29.31,0.685725
merge_hybrid,random,50,63300,28.8066,28.907,0.263817
merge_hybrid,random,50,63400,28.7814,28.746,0.480908
merge_hybrid,random,50,63500,29.584,29.073,1.14707
merge_hybrid,random,50,63600,28.9746,28.911,0.483397
merge_hybrid,random,50,63700,30.2014,30.09,0.41401
merge_hybrid,random,50,63800,36.3994,36.835,3.04806
merge_hybrid,random,50,63900,29.4404,29.539,0.372453
merge_hybrid,random,50,64000,29.2596,29.301,0.122389
merge_hybrid,random,50,64100,29.198,28.991,0.350687
merge_hybrid,random,50,64200,29.749,29.452,0.670557
merge_hybrid,random,50,64300,29.3872,29.117,0.536513
merge_hybrid,random,50,64400,30.1952,29.974,1.19079
merge_hybrid,random,50,64500,29.3344,29.051,0.423219
merge_hybrid,random,50,64600,30.7278,29.289,2.382
merge_hybrid,random,50,64700,32.3544,30.712,2.99755
merge_hybrid,random,50,64800,29.5254,29.756,0.436127
merge_hybrid,random,50,64900,29.7924,29.735,0.427475
merge_hybrid,random,50,65000,30.3886,30.262,0.309268
merge_hybrid,random,50,65100,32.1822,31.857,0.707153
merge_hybrid,random,50,65200,30.4934,30.768,0.721984
merge_hybrid,random,50,65300,30.1556,30.195,0.426854
merge_hybrid,random,50,65400,30.2392,30.259,0.181727
merge_hybrid,random,50,65500,34.427,34.541,2.86866
merge_hybrid,random,50,65600,31.4966,30.537,2.1252
merge_hybrid,random,50,65700,30.0084,30.046,0.0830966
merge_hybrid,random,50,65800,29.9786,29.94,0.158613
merge_hybrid,random,50,65900,30.4746,30.387,0.218975
merge_hybrid,random,50,66000,29.8696,29.746,0.240671
merge_hybrid,random,50,66100,30.0922,30.111,0.229468
merge_hybrid,random,50,66200,30.5904,29.967,0.980816
merge_hybrid,random,50,66300,30.4562,30.567,0.476181
merge_hybrid,random,50,66400,30.5646,30.334,0.676574
merge_hybrid,random,50,66500,30.4416,30.513,0.284957
merge_hybrid,random,50,66600,30.1382,30.032,0.290765
merge_hybrid,random,50,66700,31.167,30.769,0.648657
merge_hybrid,random,50,66800,35.7174,33.235,4.12499
merge_hybrid,random,50,66900,31.2824,31.426,0.580531
merge_hybrid,random,50,67000,30.9398,30.733,0.40349
merge_hybrid,random,50,67100,30.4862,30.438,0.115378
merge_hybrid,random,50,67200,31.0948,31.225,0.42288
merge_hybrid,random,50,67300,31.284,31.305,0.602446
merge_hybrid,random,50,67400,31.0118,30.816,0.647804
merge_hybrid,random,50,67500,31.1328,30.87,0.438617
merge_hybrid,random,50,67600,30.8654,30.587,0.422665
merge_hybrid,random,50,67700,30.7044,30.694,0.0883733
merge_hybrid,random,50,67800,33.7454,31.618,3.35586
merge_hybrid,random,50,67900,32.5668,31.846,1.89422
merge_hybrid,random,50,68000,31.8188,31.718,0.387325
merge_hybrid,random,50,68100,33.5084,33.94,1.91543
merge_hybrid,random,50,68200,32.6894,32.186,0.857851
merge_hybrid,random,50,68300,31.95,31.996,0.356868
merge_hybrid,random,50,68400,32.6652,31.845,1.2866
merge_hybrid,random,50,68500,32.6186,32.096,1.36936
merge_hybrid,random,50,68600,32.2138,32.061,0.939651
merge_hybrid,random,50,68700,31.6428,31.594,0.469796
merge_hybrid,random,50,68800,31.4484,31.184,0.561119
merge_hybrid,random,50,68900,32.3496,31.486,1.98549
merge_hybrid,random,50,69000,31.8166,31.524,0.577122
merge_hybrid,random,50,69100,33.982,34.302,1.9735
merge_hybrid,random,50,69200,35.8112,35.545,3.34501
merge_hybrid,random,50,69300,32.3894,32.073,1.2872
merge_hybrid,random,50,69400,32.1546,32.142,0.35719
merge_hybrid,random,50,69500,32.0608,32.167,0.310068
merge_hybrid,random,50,69600,32.8748,32.819,0.361346
merge_hybrid,random,50,69700,32.7672,32.459,0.701065
merge_hybrid,random,50,69800,32.6328,32.515,0.441488
merge_hybrid,random,50,69900,32.9776,32.518,0.78309
merge_hybrid,random,50,70000,33.6756,33.524,1.12562
merge_hybrid,random,50,70100,34.1472,34.528,0.549567
merge_hybrid,random,50,70200,33.1398,33.198,0.424789
merge_hybrid,random,50,70300,32.641,32.621,0.133091
merge_hybrid,random,50,70400,32.6878,32.824,0.431924
merge_hybrid,random,50,70500,32.9426,32.932,0.410602
merge_hybrid,random,50,70600,32.4576,32.153,0.454405
merge_hybrid,random,50,70700,34.6902,33.46,2.38237
merge_hybrid,random,50,70800,35.2072,36.244,1.82926
